Authors                                      	   Record Count	         % of 547
Burghardt K                                  	              1	     0.183
Burke A                                      	              1	     0.183
Burke R                                      	              1	     0.183
Burns JM                                     	              1	     0.183
Burstein D                                   	              1	     0.183
Bursztyn VS                                  	              1	     0.183
Buscarino A                                  	              1	     0.183
Butters M                                    	              1	     0.183
Barajas-ramírez JG                           	              1	     0.183
Baños RA                                     	              1	     0.183
Beaunée G                                    	              1	     0.183
Blöcker C                                    	              2	     0.366
Bustos-jiménez J                             	              1	     0.183
Böttcher L                                   	              2	     0.366
Cabezas H                                    	              1	     0.183
Cabrera Y                                    	              1	     0.183
Cafieri S                                    	              1	     0.183
Cai WR                                       	              1	     0.183
Cairns NJ                                    	              1	     0.183
Cajueiro DO                                  	              1	     0.183
Caldarelli G                                 	              3	     0.548
Calero-sanz J                                	              1	     0.183
Calvo RA                                     	              1	     0.183
Campbell C                                   	              1	     0.183
Campbell FQ                                  	              1	     0.183
Campedelli GM                                	              1	     0.183
Campos P                                     	              2	     0.366
Cantwell GT                                  	              2	     0.366
Cao JD                                       	              2	     0.366
Cao MC                                       	              1	     0.183
Capobianco E                                 	              2	     0.366
Capote H                                     	              1	     0.183
Capozzi A                                    	              1	     0.183
Carletti T                                   	              1	     0.183
Carlsson CM                                  	              1	     0.183
Carmichael O                                 	              1	     0.183
Carrillo M                                   	              1	     0.183
Carro N                                      	              1	     0.183
Carroll M                                    	              1	     0.183
Carson RE                                    	              1	     0.183
Carstens CJ                                  	              2	     0.366
Carter M                                     	              1	     0.183
Carter R                                     	              1	     0.183
Cassi D                                      	              1	     0.183
Castro N                                     	              1	     0.183
Castro RM                                    	              1	     0.183
Catalinotto D                                	              1	     0.183
Cazabet R                                    	              3	     0.548
Cellar JS                                    	              1	     0.183
Celmins D                                    	              1	     0.183
Ceria A                                      	              1	     0.183
Cermelli P                                   	              1	     0.183
Chai LR                                      	              1	     0.183
Chakrabarti A                                	              1	     0.183
Chakrabarti AS                               	              3	     0.548
Chakraborty T                                	              1	     0.183
Chan KS                                      	              1	     0.183
Chan KV                                      	              1	     0.183
Chan SY                                      	              1	     0.183
Chang HH                                     	              1	     0.183
Chang YF                                     	              1	     0.183
Chao S                                       	              1	     0.183
Chartier TP                                  	              1	     0.183
Chatterjee S                                 	              1	     0.183
Chebotarev P                                 	              1	     0.183
Chellig J                                    	              1	     0.183
Chen CJE                                     	              1	     0.183
Chen CM                                      	              1	     0.183
Chen I                                       	              1	     0.183
Chen J                                       	              1	     0.183
Chen KW                                      	              1	     0.183
Chen L                                       	              1	     0.183
Chen QY                                      	              1	     0.183
Chen SR                                      	              1	     0.183
Chen SW                                      	              1	     0.183
Chen SX                                      	              2	     0.366
Chen YD                                      	              1	     0.183
Cheng HM                                     	              1	     0.183
Cheng SB                                     	              1	     0.183
Cherifi H                                    	              1	     0.183
Chertkow H                                   	              1	     0.183
Chiang G                                     	              1	     0.183
Chodrow PS                                   	              2	     0.366
Choi JK                                      	              2	     0.366
Chorozoglou D                                	              1	     0.183
Chow TWS                                     	              1	     0.183
