Document Type,Authors,Title,Journal,Year,Citations,Keywords,DOI,Affiliations,References
J,"['Ren, D']",Understanding node-link and matrix visualizations of networks: A,NETWORK SCIENCE,2019,8,"['information visualization; network visualization; graph data', 'GRAPHS']",10.1017/nws.2019.6,"['Ren, D (corresponding author), Univ Calif Santa Barbara, Santa Barbara, CA 93106 USA.']","['Aarts AA, 2015, SCIENCE, V349, DOI 10.1126/science.aac4716']"
J,"['Yan, BW']",Multicores-periphery structure in networks,NETWORK SCIENCE,2019,8,['mesoscale structure; core-periphery structure; community detection'],10.1017/nws.2018.27,"['Yan, BW (corresponding author), Singapore Univ Technol & Design, Engn Prod Dev Pillar & SUTD MIT Int Design Ctr, 8 Somapah Rd, Singapore 487372, Singapore.']","['[Anonymous], SOCIAL NETWORK ANAL']"
J,"['Spiewak, R']",A study of cascading failures in real and synthetic power grid,NETWORK SCIENCE,2018,8,"['power grids; cascading failures; line failures; synthetic power grids', 'ARCANGELIS L, 1985, J PHYS LETT-PARIS, V46, pL585, DOI 10.1051/jphyslet:019850046013058500', 'TRANSITION; MODELS']",10.1017/nws.2018.14,"['Spiewak, R (corresponding author), Yeshiva Univ, New York, NY 10033 USA.']","['Albert R, 2002, REV MOD PHYS, V74, P47, DOI 10.1103/RevModPhys.74.47']"
J,"['Burt, RS']",Social network and temporal discounting,NETWORK SCIENCE,2017,8,"['temporal discounting; social network; time horizon; structural hole', 'FUTURE TIME PERSPECTIVE; DELAYED REWARDS; STRATEGY; LANGUAGE; RATES', 'W', 'DIFFER, V15, P213, DOI 10.1016/j.lindif.2005.01.003']",10.1017/nws.2017.23,"['Burt, RS (corresponding author), Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA.']","['AINSLIE G, 1975, PSYCHOL BULL, V82, P463, DOI 10.1037/h0076860']"
J,"['Tubaro, P']",Sociability and support in online eating disorder communities: Evidence,NETWORK SCIENCE,2014,8,"['personal networks; online social networks; social support; social', 'SOCIAL NETWORKS; INTERNET PARADOX; MORTALITY; RISK']",10.1017/nws.2014.6,"['Tubaro, P (corresponding author), Univ Greenwich, London, England.']","['Adler PaulS., 2002, ACAD MANAGE REV, V27, P17, DOI DOI 10.2307/4134367']"
J,"['Antunes, N']",Sampling methods and estimation of triangle count distributions in large,NETWORK SCIENCE,2021,7,['triangles; random sampling; distribution estimation; inversion approach;'],10.1017/nws.2021.2,"['Antunes, N (corresponding author), Univ Lisbon, Ctr Computat & Stochast Math, Ave Rovisco Pais 1049 001, Lisbon, Portugal.; Antunes, N (corresponding author), Univ Algarve, Faro, Portugal.']","['Al Hasan M, 2018, WIRES DATA MIN KNOWL, V8, DOI 10.1002/widm.1226']"
J,"['Jaramillo, AM']",Social cohesion emerging from a community-based physical activity,NETWORK SCIENCE,2021,7,"['social network analysis; temporal networks; community-based', 'ACTIVITY INTERVENTIONS; PARTICIPATION; INFORMATION; WALKING']",10.1017/nws.2020.31,"['Jaramillo, AM (corresponding author), Univ Los Andes, Dept Ind Engn, Bogota, Colombia.; Jaramillo, AM (corresponding author), Univ Los Andes, Social & Hlth Complex Ctr, Bogota, Colombia.; Jaramillo, AM (corresponding author), Univ Exeter, Dept Comp Sci, Exeter, Devon, England.']","['Allen L, 2017, J PUBLIC HEALTH-UK, V39, P698, DOI 10.1093/pubmed/fdx008']"
J,"['Rhoades, H']",Social network change aftermoving into permanent supportive housing: Who,NETWORK SCIENCE,2021,7,"['homelessness; permanent supportive housing; social networks; network', 'HOMELESS ADULTS; COMMUNITY INTEGRATION; UNPROTECTED SEX; RISK BEHAVIORS;']",10.1017/nws.2020.19,"['Rhoades, H (corresponding author), Univ Southern Calif, Suzanne Dworak Peck Sch Social Work, Montgomery Ross Fisher Bldg, Los Angeles, CA 90089 USA.']","['Barrow SM, 1999, AM J PUBLIC HEALTH, V89, P529, DOI 10.2105/AJPH.89.4.529', 'NIDA QUI SCR']"
J,"['Goyal, R']",Dynamic network prediction,NETWORK SCIENCE,2020,7,"['dynamic network; congruence class model; prediction; co-sponsorship', 'DISCRETE TEMPORAL MODELS; ACTOR-ORIENTED MODELS; POLARIZATION']",10.1017/nws.2020.24,"['Goyal, R (corresponding author), Harvard Sch Publ Hlth, Math, Boston, MA 02115 USA.']","['Airoldi EM, 2011, DECIS SUPPORT SYST, V51, P506, DOI 10.1016/j.dss.2011.02.014']"
J,"['Treur, J']",Analysis of a network's asymptotic behavior via its structure involving,NETWORK SCIENCE,2020,7,"['asymptotic network behavior; strongly connected components; relating', 'MODEL']",10.1017/nws.2019.24,"['Treur, J (corresponding author), Vrije Univ Amsterdam, Dept Comp Sci, Social AI Grp, De Boelelaan 1105, NL-1081 HV Amsterdam, Netherlands.']","['[Anonymous], 1963, Journal of the Society for Industrial and Applied Mathematics Series A Control, DOI 10.1137/0301010']"
J,"['Duxbury, SW']",Identifying key players in bipartite networks,NETWORK SCIENCE,2020,7,"['two-mode network; vulnerability; influence; centrality; disruption', 'CENTRALITY; MODELS']",10.1017/nws.2019.62,"['Duxbury, SW (corresponding author), Univ N Carolina, Dept Sociol, 155 Hamilton Hall,102 Emerson Dr, Chapel Hill, NC 27514 USA.']","['Agneessens F, 2017, SOC NETWORKS, V49, P12, DOI 10.1016/j.socnet.2016.09.005']"
J,"['Kindschi, M']",Values in adolescent friendship networks,NETWORK SCIENCE,2019,7,"['value change; friendship network evolution; stochastic actor-oriented', 'SELECTION; SCHOOL; MECHANISMS; BEHAVIOR; COMPANY; MODELS; SOCIALIZATION;']",10.1017/nws.2019.16,"['Kindschi, M (corresponding author), Univ Zurich, Fac Business Econ & Informat, Inst Business Adm, URPP Social Networks, Canton Zurich, Switzerland.']","['Aldrich H., 1979, ORG ENV']"
J,"['Chen, X']",Bayesian dynamic modeling and monitoring of network flows,NETWORK SCIENCE,2019,7,"['Bayesian model emulation; decouple/recouple; dynamic network flow time', 'ROAD TRAFFIC FLOWS; PREDICTION']",10.1017/nws.2019.10,"['Chen, X (corresponding author), LinkedIn Corp, Sunnyvale, CA 94085 USA.']","['Anacleto O, 2013, AUST NZ J STAT, V55, P69, DOI 10.1111/anzs.12026']"
J,"['Zhu, Z']",The similarity of global value chains: A network-based measure,NETWORK SCIENCE,2018,7,"['networks; node similarity; input-output analysis; global value chains;', 'VERTICAL SPECIALIZATION; TRADE; INPUT; EXPORTS; GROWTH']",10.1017/nws.2018.8,"['Zhu, Z (corresponding author), IMT Sch Adv Studies Lucca, I-55100 Lucca, Italy.; Zhu, Z (corresponding author), Univ Greenwich, Dept Int Business & Econ, London SE10 9LS, England.']","['Acemoglu D, 2012, ECONOMETRICA, V80, P1977, DOI 10.3982/ECTA9623']"
J,"['Marc, T']",Convexity in complex networks,NETWORK SCIENCE,2018,7,"['network convexity; convex subsets; convex subgraphs; core-periphery', ""WEB (WWW'13 COMPANION), P1343"", 'CORE-PERIPHERY STRUCTURE; COMMUNITY STRUCTURE; HULL NUMBER; MODELS']",10.1017/nws.2017.37,"['Marc, T (corresponding author), Inst Math Phys & Mech, Ljubljana, Slovenia.']","['Adai AT, 2004, J MOL BIOL, V340, P179, DOI 10.1016/j.jmb.2004.04.047']"
J,"['Smaldino, PE']",Resilience by structural entrenchment: Dynamics of single-layer and,NETWORK SCIENCE,2018,7,"['network formation; multiplex; incentives; spillover; triangles; shocks', 'RA, 1976, MAN, V11, P1, DOI 10.2307/2800384', 'COOPERATION; COMMUNITY; ECOLOGY']",10.1017/nws.2017.35,"['Smaldino, PE (corresponding author), Univ Calif, Cognit & Informat Sci, Merced, CA 95340 USA.']","['[Anonymous], MEME DEV STRUCTURE C']"
J,"['Znidarsic, A']",Stability of centrality measures in valued networks regarding different,NETWORK SCIENCE,2018,7,"['valued network; actor non-response; missing data; actor non-response', 'SOCIAL NETWORKS; MISSING DATA; ROBUSTNESS; IMPACT']",10.1017/nws.2017.29,"['Znidarsic, A (corresponding author), Univ Maribor, Fac Org Sci, Kidriceva 55a, Kranj 4000, Slovenia.']","['[Anonymous], 2011, Social network analysis']"
J,"['Armbruster, B']",Forward reachable sets: Analytically derived properties of connected,NETWORK SCIENCE,2017,7,"['networks; dynamic network; network transmission; reachable set;', 'TRANSMITTED-DISEASE TRANSMISSION; CONCURRENT PARTNERSHIPS; SPREAD;']",10.1017/nws.2017.10,"['Armbruster, B (corresponding author), Northwestern Univ, Ind Engn & Management Sci, Evanston, IL 60208 USA.']","['[Anonymous], 2000, Mathematical Population Studies, DOI DOI 10.1080/08898480009525478']"
J,"['Lienert, J']",Social influence on 5-year survival in a longitudinal chemotherapy ward,NETWORK SCIENCE,2017,7,"['medicine; public health; chemotherapy; longitudinal network; communal', 'BREAST-CANCER; SUPPORT; MORTALITY; CONTAGION; FAMILIAR; BENEFITS; STRESS']",10.1017/nws.2017.16,"['Lienert, J (corresponding author), NHGRI, NIH, Bethesda, MD 20892 USA.; Lienert, J (corresponding author), Univ Oxford, Said Business Sch, CABDyN Complex Ctr, Oxford, England.']","['[Anonymous], 2012, SMR']"
J,"['Perry, BL']",Interactions between patients' experiences in mental health treatment,NETWORK SCIENCE,2017,7,"['sociology; mental health; egocentric networks; recovery; network', 'SHARED DECISION-MAKING; OLDER-ADULTS; SUPPORT; CARE; SERVICES; PEOPLE;']",10.1017/nws.2016.24,"['Perry, BL (corresponding author), Indiana Univ, Dept Sociol, Bloomington, IN 47405 USA.; Perry, BL (corresponding author), Indiana Univ, Network Sci Inst, Bloomington, IN 47405 USA.']","['Abbott KM, 2012, HEALTH COMMUN, V27, P784, DOI 10.1080/10410236.2011.640975']"
J,"['Reiffers-Masson, A']",Opinion-based centrality in multiplex networks: A convex optimization,NETWORK SCIENCE,2017,7,['complex networks; centrality measures; multiplex networks; opinion'],10.1017/nws.2017.7,"['Reiffers-Masson, A (corresponding author), Lab Informat Avignon LIA EA 4128, Avignon, France.']","['[Anonymous], 2014, P ACM C WEB SCI, DOI DOI 10.1145/2615569.2615687']"
J,"['Kaminski, B']",A multi-purposed unsupervised framework for comparing embeddings of,NETWORK SCIENCE,2022,6,['graph embeddings; null models; evaluation of node embeddings'],10.1017/nws.2022.27,"['Pralat, P (corresponding author), Toronto Metropolitan Univ, Dept Math, Toronto, ON, Canada.']","['Aggarwal M, 2021, MACHINE LEARNING SOC']"
J,"['McMillan, C']",Strong and weak tie homophily in adolescent friendship networks: An,NETWORK SCIENCE,2022,6,"['adolescent friendship; homophily; valued ERGMs; tie strength; race;', 'RANDOM GRAPH MODELS; SCHOOL; SEGREGATION; IMMIGRANT; FEATHER; GENDER;']",10.1017/nws.2022.24,"['McMillan, C (corresponding author), Northeastern Univ, Sch Criminol & Criminal Justice, Dept Sociol & Anthropol, Boston, MA 02115 USA.']","['Aboud FE, 2003, INT J BEHAV DEV, V27, P165, DOI 10.1080/01650250244000164']"
J,"['Brashears, ME', 'PM, 1977, AM J SOCIOL, V83, P26']","Where you are, what you want, and what you can do: The role of master",NETWORK SCIENCE,2020,6,"['ego networks; cognition; memory; personality; master statuses', 'INDIVIDUAL-DIFFERENCES; SEX-DIFFERENCES; NEOCORTEX SIZE; WORKING-MEMORY;', 'DIFFER, V32, P161, DOI 10.1027/1614-0001/a000048']",10.1017/nws.2020.6,"['Brashears, ME (corresponding author), Univ South Carolina, Dept Sociol, Columbia, SC 29208 USA.']","['Adams J, 2015, NETW SCI, V3, P293, DOI 10.1017/nws.2015.16']"
J,"['Wellman, B']","The networked question in the digital era: How do networked, bounded,",NETWORK SCIENCE,2020,6,"['digital media; networked individualism; Networked Individuals; Socially', 'STUDY SOCIOL', 'OLDER-ADULTS; SOCIOEMOTIONAL SELECTIVITY; DISTANCE MATTER; SOCIAL']",10.1017/nws.2019.28,"['Wellman, B (corresponding author), NetLab Network, Toronto, ON, Canada.']","['Agneessens F, 2006, SOC NETWORKS, V28, P427, DOI 10.1016/j.socnet.2005.10.001']"
J,"['Molina, JL']",The embeddedness of social capital in personal networks,NETWORK SCIENCE,2020,6,"['personal networks; social capital; name generator; position generator;', 'SIZE']",10.1017/nws.2019.30,"['Molina, JL (corresponding author), Univ Autonoma Barcelona, Dept Social & Cultural Anthropol, GRAFO, C de la Fortuna S-N, Barcelona 08193, Spain.']","['[Anonymous], 2000, BOWLING ALONE COLLAP, DOI DOI 10.1145/358916.361990']"
J,"['van Woudenberg, TJ']",Comparing the measurement of different social networks: Peer,NETWORK SCIENCE,2020,6,"['social networks; Bluetooth; nominations; communication; proximity;', 'FRIENDSHIP; OFFLINE; BIAS']",10.1017/nws.2019.65,"['van Woudenberg, TJ (corresponding author), Radboud Univ Nijmegen, Behav Sci Inst, Nijmegen, Netherlands.']","['Adams J, 2010, P NATL ACAD SCI USA, V107, pE29, DOI 10.1073/pnas.0911195107']"
J,"['Komolafe, T']",Statistical evaluation of spectral methods for anomaly detection in,NETWORK SCIENCE,2019,6,"['residual matrix; spectral methods; R-MAT model; principal components', 'MODEL']",10.1017/nws.2019.14,"['Komolafe, T (corresponding author), Virginia Polytech Inst & State Univ, Dept Stat, Blacksburg, VA 24061 USA.']","['Aiello W, 2001, EXP MATH, V10, P53, DOI 10.1080/10586458.2001.10504428']"
J,"['Bredereck, R']",Assessing the computational complexity of multilayer subgraph detection,NETWORK SCIENCE,2019,6,"['parameterized computational complexity; exact algorithms; multi-modal', 'WEB, V16, P567, DOI 10.1007/s11280-012-0190-4', 'GRAPHS']",10.1017/nws.2019.13,"['Moltert, H (corresponding author), TU Berlin, Inst Softwaretech & Theoret Informat, Berlin, Germany.']","['Agrawal A, 2018, ACM T COMPUT THEORY, V10, DOI 10.1145/3265027']"
J,"['Abbate, A']",Distance-varying assortativity and clustering of the international trade,NETWORK SCIENCE,2018,6,"['international trade; network analysis; distance', 'REV, V15, P451, DOI 10.1017/S147474561500052X', 'IMPACT OF EUROPEAN UNION PREFERENTIAL POLICIES: AN ANALYSIS THROUGH GRAVITY MODELS, P55, DOI 10.1007/978-3-642-16564-1_4', 'ECON DEV, V16, P245, DOI 10.1080/09638190701325649', 'WORLD-TRADE; ECONOMIC-GEOGRAPHY; GRAVITY; EVOLUTION; GLOBALIZATION;']",10.1017/nws.2018.7,"['Abbate, A (corresponding author), Swiss Natl Bank, Econ Affairs Div, Bern, Switzerland.']","['Abeysinghe Tilak., 2005, REV INT ECON, V13, P356, DOI [DOI 10.1111/J.1467-9396.2005.00508.X, 10.1111/j.1467-9396.2005.00508.x]']"
J,"['Harling, G']",Impact of degree truncation on the spread of a contagious process on,NETWORK SCIENCE,2018,6,"['social networks; contact networks; epidemics; truncation; spreading', 'DISEASE; CONTACTS']",10.1017/nws.2017.30,"['Harling, G (corresponding author), Harvard TH Chan Sch Publ Hlth, Dept Global Hlth & Populat, 655 Huntington Ave, Boston, MA 02115 USA.']","['[Anonymous], 2010, An introduction to infectious diseas modelling']"
J,"['Matous, P']",Energy and resilience: The effects of endogenous interdependencies on,NETWORK SCIENCE,2016,6,"['interfirm networks; network evolution; geography; stochastic', 'DYNAMIC NETWORKS; SOCIAL NETWORKS; MODEL; DISTANCE; TIME']",10.1017/nws.2015.37,"['Matous, P (corresponding author), Univ Tokyo, Dept Civil Engn, Sch Engn, 7-3-1 Hongo, Tokyo 113, Japan.; Matous, P (corresponding author), Univ Sydney, Fac Engn & IT, Complex Syst Res Grp, Sydney, NSW 2006, Australia.; Todo, Y (corresponding author), RIETI, Grad Sch Econ, Shinjuku Ku, 1-6-1 Nishi Waseda, Tokyo 1690051, Japan.; Todo, Y (corresponding author), Waseda Univ, Shinjuku Ku, 1-6-1 Nishi Waseda, Tokyo 1690051, Japan.']","['Acemoglu D., 2015, NETWORKS SHOCKS SYST, P1']"
J,"['Brandes, U']",Smallest graphs with distinct singleton centers,NETWORK SCIENCE,2014,6,[],10.1017/nws.2014.25,"['Brandes, U (corresponding author), Univ Konstanz, Dept Comp & Informat Sci, Constance, Germany.']","['[Anonymous], 2009, Handbook of Molecular Descriptors for Chemoinformatics.']"
J,"['Rider, AK']",Networks' characteristics are important for systems biology,NETWORK SCIENCE,2014,6,"['systems biology; network inference', 'GENE-EXPRESSION; COEXPRESSION NETWORK; MUTUAL INFORMATION; SCALE;']",10.1017/nws.2014.13,"['Rider, AK (corresponding author), Univ Notre Dame, ICeNSA, ECK Inst Global Hlth, Dept Comp Sci & Engn, Notre Dame, IN 46556 USA.']","['[Anonymous], BIOINFORMATICS']"
J,"['Uzaheta, A']",Random effects in dynamic network actor models,NETWORK SCIENCE,2023,5,"['Bayesian estimation; Dynamic Network Actor Models; heterogeneity;', 'RELATIONAL EVENT MODELS; SOCIAL NETWORKS; TIME; FRAMEWORK']",10.1017/nws.2022.37,"['Uzaheta, A (corresponding author), Swiss Fed Inst Technol, Social Networks Lab, Zurich, Switzerland.']","['Amati V, 2019, SOC NETWORKS, V57, P18, DOI 10.1016/j.socnet.2018.10.001']"
J,"['Boldi, P']",Monotonicity in undirected networks,NETWORK SCIENCE,2023,5,"['centrality; score monotonicity; rank monotonicity', 'FIBRATIONS; INDEX']",10.1017/nws.2022.42,"['Vigna, S (corresponding author), Univ Milan, Dipartimento Informat, Milan, Italy.']","['[Anonymous], 1971, Technical Report BN 9/71']"
J,"['Leifeld, P']",The stochastic actor-oriented model is a theory as much as it is a,NETWORK SCIENCE,2022,5,['stochastic actor-oriented model; SAOM; SIENA; temporal exponential'],10.1017/nws.2022.7,"['Leifeld, P (corresponding author), Univ Essex, Dept Govt, Colchester CO4 3SQ, Essex, England.']","['Block P., 2022, NETW SCI, V10, P2, DOI 10.1017/nws.2022.6']"
J,"['Feld, SL']",Egonets as systematically biased windows on society,NETWORK SCIENCE,2020,5,"['egonets; biased samples; friendship paradox; homophily; social', 'SOCIAL NORMS; ALCOHOL-USE; DRUG-USE; FRIENDS; MISPERCEPTIONS;']",10.1017/nws.2020.5,"['Feld, SL (corresponding author), Purdue Univ, W Lafayette, IN 47907 USA.']","['[Anonymous], 2011, 11114503 ARXIV']"
J,"['Maya-Jariego, I']",Personal networks and psychological attributes: Exploring individual,NETWORK SCIENCE,2020,5,"['personality traits; Big Five; personal networks; typology; triads;', 'SOCIAL NETWORKS; BIG 5; SUPPORT; MODEL; EXTROVERSION; LEADERSHIP; TRAITS', 'DIFFER, V34, P63, DOI 10.1016/j.lindif.2014.05.007']",10.1017/nws.2019.15,"['Maya-Jariego, I (corresponding author), Univ Seville, Dept Social Psychol, Seville, Spain.']","['[Anonymous], 1983, Sociological Theory, DOI [10.2307/202050, DOI 10.2307/202050]']"
J,"['Friedkin, NE']",Positive contagion and themacrostructures of generalized balance,NETWORK SCIENCE,2019,5,"['balance theory; generalized balance; dynamical system', 'WEB C, P641', 'STRUCTURAL BALANCE; SOCIAL BALANCE; NETWORKS; MODELS; TRANSITIVITY;']",10.1017/nws.2019.19,"['Friedkin, NE (corresponding author), Univ Calif Santa Barbara, Dept Sociol, Santa Barbara, CA 93106 USA.; Friedkin, NE (corresponding author), Univ Calif Santa Barbara, Ctr Control Dynam Syst & Computat, Santa Barbara, CA 93106 USA.']","['Abell P, 2009, J MATH SOCIOL, V33, P129, DOI 10.1080/00222500902718239']"
J,"['Shinde, P']",Symmetry in cancer networks identified: Proposal for multicancer,NETWORK SCIENCE,2019,5,"['cancer networks; eigenvalue analysis; graph symmetry; biomarkers', 'PROTEIN INTERACTION NETWORKS; GENE; DATABASE; WEB']",10.1017/nws.2019.55,"['Jalan, S (corresponding author), Indian Inst Technol Indore, Discipline Biosci & Biomed Engn, Khandwa Rd, Indore 453552, Madhya Pradesh, India.; Jalan, S (corresponding author), Indian Inst Technol Indore, Complex Syst Lab, Discipline Phys, Khandwa Rd, Indore 453552, Madhya Pradesh, India.; Jalan, S (corresponding author), Lobachevsky Univ, Dept Appl Math, Nizhnii Novgorod, Russia.']","['Agrawal A, 2014, PHYSICA A, V404, P359, DOI 10.1016/j.physa.2013.12.005']"
J,"['Sweet, TM']",Clustering ensembles of social networks,NETWORK SCIENCE,2019,5,"['clustering; graph kernel; random walks; advice networks; education', 'COMPARING NETWORKS; INSTRUCTION; MODEL; ORGANIZATIONS; BEHAVIOR; SPACE']",10.1017/nws.2019.2,"['Sweet, TM (corresponding author), Univ Maryland, Dept Human Dev & Quantitat Methodol, College Pk, MD 20742 USA.']","['[Anonymous], 2015, MULTILEVEL NETWORK A']"
J,"['Sohn, Y']",Bayesian approach to multilayer stochastic blockmodel and network,NETWORK SCIENCE,2017,5,"['multilayer network; stochastic blockmodel; network changepoint', 'COMMUNITY STRUCTURE; GIBBS SAMPLER; MODELS; MULTISCALE; COMPLEXITY']",10.1017/nws.2017.13,"['Sohn, Y (corresponding author), Princeton Univ, Dept Polit, Princeton, NJ 08540 USA.; Sohn, Y (corresponding author), Univ Calif San Diego, Dept Polit Sci, La Jolla, CA 92093 USA.']","['Ahn YY, 2010, NATURE, V466, P761, DOI 10.1038/nature09182']"
J,"['Wang, TC']",Focus statistics for testing network centrality on uncorrelated random,NETWORK SCIENCE,2016,5,"['network centrality; focus centrality; density of distance; multinomial', 'MODEL; POWER']",10.1017/nws.2016.19,"['Wang, TC (corresponding author), Natl Ctr High Performance Comp, Hsinchu 300, Taiwan.']","['[Anonymous], 2004, Simulation']"
J,"['Shore, JC', 'C MIN']",Market formation as transitive closure: The evolving pattern of trade in,NETWORK SCIENCE,2016,5,"['market development; international trade; information goods; social', 'TRANSFOR', 'FILMS TELE', 'UNITED-STATES; NETWORK']",10.1017/nws.2015.30,"['Shore, JC (corresponding author), Boston Univ, Dept Informat Syst, Boston, MA 02215 USA.']","['African Union, 2005, 1 ORD SESS AU C MIN']"
J,"['Kempe, D']",Selection and influence in cultural dynamics,NETWORK SCIENCE,2016,5,"['social networks; selection; influence; opinion formation', 'COEVOLUTION; CONTAGION; NETWORKS; PATTERNS; MODEL', 'W']",10.1017/nws.2015.36,"['Kempe, D (corresponding author), Univ So Calif, Dept Comp Sci, Los Angeles, CA 90089 USA.; Kleinberg, J (corresponding author), Cornell Univ, Dept Comp Sci, Ithaca, NY 14853 USA.; Oren, S (corresponding author), Ben Gurion Univ Negev, Dept Comp Sci, IL-8410501 Beer Sheva, Israel.; Slivkins, A (corresponding author), Microsoft Res, New York, NY 10011 USA.']","['Abrams DM, 2003, NATURE, V424, P900, DOI 10.1038/424900a']"
J,"['Galeotti, A', 'EC RES N']",Diffusion and protection across a random graph,NETWORK SCIENCE,2015,5,['VACCINATION; EPIDEMICS; EXTERNALITIES; NETWORKS; GAMES'],10.1017/nws.2015.24,"['Galeotti, A (corresponding author), Univ Essex, Dept Econ, Wivenhoe Pk, Colchester CO3 SQ, Essex, England.']","['Acemoglu D., 2013, NATL BUREAU EC RES N']"
J,"['Wang, C']",Algorithms for generating large-scale clustered random graphs,NETWORK SCIENCE,2014,5,"['large-scale network; clustered random graph; generating algorithm', 'NETWORKS; DYNAMICS']",10.1017/nws.2014.7,"['Wang, C (corresponding author), Univ Calif Irvine, Dept Populat Hlth & Dis Prevent, AIR Bldg 653,Suite 2040H,653 East Peltason Dr, Irvine, CA 92697 USA.']","['Albert R, 1999, NATURE, V401, P130, DOI 10.1038/43601']"
J,"['Fisher, JC']",END NOTE Stickiness of respondent-driven sampling recruitment chains,NETWORK SCIENCE,2014,5,[],10.1017/nws.2014.16,"['Fisher, JC (corresponding author), Duke Univ, Dept Sociol, Box 90088, Durham, NC 27708 USA.']","['Gile KJ, 2011, J AM STAT ASSOC, V106, P135, DOI 10.1198/jasa.2011.ap09475']"
J,"['Gravel, J']","Rivalries, reputation, retaliation, and repetition: Testing plausible",NETWORK SCIENCE,2023,4,"['gangs; violence; relational events; retaliation; social contagion;', 'STREET DECENCY', 'STUD, V14, P359, DOI 10.1177/1088767910385400', 'STUD, V24, P3, DOI 10.1177/1088767918816741', 'SOCIAL NETWORKS; HIERARCHY FORMATION; YOUTH VIOLENCE; HOMICIDE;']",10.1017/nws.2023.8,"['Tita, GE (corresponding author), Univ Calif Irvine, Dept Criminol Law & Soc, Irvine, CA 92697 USA.']","['Abt Thomas., 2019, BLEEDING OUT DEVASTA, VFirst, DOI 10.1093/sw/25.6.506']"
J,"['Block, P']","Circular specifications and ""predicting"" with information from the",NETWORK SCIENCE,2022,4,"['SAOM; ERGM; TERGM; statistical modeling; dynamic networks; inferential', 'MODELS; NETWORKS']",10.1017/nws.2022.6,"['Block, P (corresponding author), Univ Oxford, Dept Sociol, Leverhulme Ctr Demog Sci, Oxford, England.; Block, P (corresponding author), Univ Oxford, Nuffield Coll, Oxford, England.']","['[Anonymous], 2016, TERGM FIT SIMULATE D']"
J,"['Kim, JE']",Cheating in online gaming spreads through observation and victimization,NETWORK SCIENCE,2021,4,"['social contagion; antisocial behavior; temporal networks; online', 'GENERALIZED EXCHANGE; SOCIAL CONTAGION; RECIPROCITY; BEHAVIOR;']",10.1017/nws.2021.19,"['Tsvetkova, M (corresponding author), London Sch Econ & Polit Sci, Dept Methodol, London WC2A 2AE, England.']","['Alayed H., 2013, 2013 IEEE C COMP INT, P1, DOI DOI 10.1109/CIG.2013.6633617']"
J,"['Schafer, MH']",Functional disability and the role of children in U.S. older adults',NETWORK SCIENCE,2021,4,"['ego networks; network change; parent-child relationships; health;', 'NATIONAL SOCIAL-LIFE; AGING PARENTS; PERSONAL NETWORK; MORTALITY RISK;']",10.1017/nws.2020.48,"['Schafer, MH (corresponding author), Univ Toronto, Dept Sociol, Toronto, ON, Canada.']","['Aartsen MJ, 2004, J SOC PERS RELAT, V21, P249, DOI 10.1177/0265407504041386']"
J,"['Hübschle-Schneider, L']",Linear work generation of R-MAT graphs,NETWORK SCIENCE,2020,4,['graph generator; parallel processing; large graphs; bit parallelism;'],10.1017/nws.2020.21,"['Sanders, P (corresponding author), Karlsruhe Inst Technol, D-76128 Karlsruhe, Germany.']","['[Anonymous], 2010, INTRO GRAPH 500']"
J,"['Pachucki, MC']",Is having an educationally diverse social network good for health?,NETWORK SCIENCE,2020,4,"['egocentric networks; health; network diversity; assortativity', 'MONTREAL NEIGHBORHOOD NETWORKS; LONGITUDINAL FINDINGS; TIES; PEOPLE;']",10.1017/nws.2020.14,"['Pachucki, MC (corresponding author), Univ Massachusetts, Dept Sociol, Computat Social Sci Inst, Amherst, MA 01003 USA.']","['Adler NE, 2000, HEALTH PSYCHOL, V19, P586, DOI 10.1037/0278-6133.19.6.586']"
J,"['Suitor, JJ']",Roles of egos' and siblings' perceptions of maternal favoritism in adult,NETWORK SCIENCE,2020,4,"['family networks; social influence and well-being; family relations and', 'PARENTAL DIFFERENTIAL TREATMENT; SOCIAL-INFLUENCE; HEALTH; CONSEQUENCES;']",10.1017/nws.2019.31,"['Suitor, JJ (corresponding author), Purdue Univ, Dept Sociol, W Lafayette, IN 47907 USA.']","['Allison P., 2008, FIXED EFFECTS REGRES']"
J,"['Humberstone, E']",Friendship networks and adolescent pregnancy: Examining the potential,NETWORK SCIENCE,2019,4,"['teen pregnancy; friendships; social networks; adolescence; hierarchal', 'LONG-TERM CONSEQUENCES; CHILDBEARING; MOTHERS; SCHOOL; SUPPORT; SELF;']",10.1017/nws.2019.25,"['Humberstone, E (corresponding author), Johns Hopkins Univ, 2800 N Charles St, Baltimore, MD 21218 USA.']","['[Anonymous], 2009, NATL LONGITUDINAL ST']"
J,"['Ushijima-Mwesigwa, H']",Centralities for networks with consumable resources,NETWORK SCIENCE,2019,4,"['network centrality; Katz centrality; betweenness centrality; random-walk', 'WIRELESS POWER TRANSFER; INFLUENTIAL SPREADERS; ELECTRIC VEHICLES;']",10.1017/nws.2019.7,"['Ushijima-Mwesigwa, H (corresponding author), Clemson Univ, Sch Comp, Clemson, SC 29634 USA.']","['Albert R, 2002, REV MOD PHYS, V74, P47, DOI 10.1103/RevModPhys.74.47']"
