Document Type,Authors,Title,Journal,Year,Citations,Keywords,DOI,Affiliations,References
J,"['White, A']",Mixed-membership of experts stochastic blockmodel,NETWORK SCIENCE,2016,13,"['stochastic blockmodel; mixed membership model; node attributes;', 'VARIATIONAL BAYESIAN-INFERENCE; MAXIMUM-LIKELIHOOD; MODEL; PREDICTION;']","E.M., 2007, Lecture Notes in Computer Science, V4503","['White, A (corresponding author), Trinity Coll Dublin, Sch Comp Sci & Stat, Dublin 2, Ireland.; Murphy, TB (corresponding author), Univ Coll Dublin, Sch Math Sci, Dublin 4, Ireland.']","['AIROLDI E.M., 2007, Lecture Notes in Computer Science, V4503']"
J,"['De Lombaerde, P']","Using network analysis to study globalization, regionalization, and",NETWORK SCIENCE,2018,12,"['globalization; international relations; investment; regionalization;', 'AGREEMENTS; WORLD-TRADE; INTERNATIONAL-TRADE; SOCIAL', 'P, 2011, MACROECONOMICS ESSAY, P159', 'FREE-TRADE AGREEMENTS; WORLD-TRADE; INTERNATIONAL-TRADE; SOCIAL']",10.1017/nws.2018.25,"['De Lombaerde, P (corresponding author), Neoma Business Sch, Rouen, France.']","['Abel GJ, 2014, SCIENCE, V343, P1520, DOI 10.1126/science.1248676']"
J,"['Hayashi, Y']",A new design principle of robust onion-like networks self-organized in,NETWORK SCIENCE,2018,12,"['coexistence of efficiency and robustness; onion-like structure;', 'COMPLEX NETWORKS']",10.1017/nws.2017.25,"['Hayashi, Y (corresponding author), Japan Adv Inst Sci & Technol, Nomi, Ishikawa, Japan.']","['Albert R, 2000, NATURE, V406, P378, DOI 10.1038/35019019']"
J,"['Fagiolo, G']","Human-mobility networks, country income, and labor productivity",NETWORK SCIENCE,2015,12,"['international temporary human-mobility network; international', 'ECON DEV, V16, P245, DOI 10.1080/09638190701325649', 'ECON DEV, V19, P215, DOI 10.1080/09638190802521278', 'PANEL-DATA; TRADE; CENTRALITY']",10.1017/nws.2015.25,"['Fagiolo, G (corresponding author), Scuola Super Sant Anna, Ist Econ, Piazza Martiri Liberta 33, I-56127 Pisa, Italy.']","['Abeysinghe Tilak., 2005, REV INT ECON, V13, P356, DOI [DOI 10.1111/J.1467-9396.2005.00508.X, 10.1111/j.1467-9396.2005.00508.x]']"
J,"['Cape, J']",On spectral embedding performance and elucidating network structure in,NETWORK SCIENCE,2019,11,"['stochastic blockmodel; Laplacian matrix; adjacency matrix; spectral', 'HYPOTHESIS-TESTING PROBLEM; EIGENVECTORS; MODELS']",10.1017/nws.2019.23,"['Cape, J (corresponding author), Univ Michigan, Dept Stat, 1085 South Univ Ave,323 West Hall, Ann Arbor, MI 48109 USA.']","['grant [EP/K032208/1]; D3M program of the', 'grant EP/K032208/1. JC thanks', 'Abbe E, 2018, J MACH LEARN RES, V18']"
J,"['Fracasso, A']",The evolution of oil trade: A complex network approach,NETWORK SCIENCE,2018,11,['oil; communities; globalization; regionalization; networks'],10.1017/nws.2018.6,"['Fracasso, A (corresponding author), Univ Trento, Sch Int Studies, Via Tonunaso Gar 14, I-38122 Trento, Italy.; Fracasso, A (corresponding author), Univ Trento, Dept Econ & Management, Via Inama 5, I-38122 Trento, Italy.']","['[Anonymous], 201023 CEPII RES CTR']"
J,"['Sabrin, KM']",The hourglass effect in hierarchical dependency networks,NETWORK SCIENCE,2017,11,"['modularity; hierarchy; evolvability; robustness; complexity; centrality;', 'ORGANIZATION; MODULARITY; EVOLUTION; METABOLISM; EMERGENCE; DYNAMICS;']",10.1017/nws.2017.22,"['Sabrin, KM (corresponding author), Georgia Inst Technol, Sch Comp Sci, Atlanta, GA 30332 USA.']","['Akhshabi S., 2014, F1000RESEARCH, V3, DOI 10.12688/f1000research.4583.2']"
J,"['Copeland, M']",Dynamic associations of network isolation and smoking behavior,NETWORK SCIENCE,2017,11,"['social networks; social isolation; substance use; smoking; SEM;', 'ADOLESCENT CIGARETTE-SMOKING; SUBSTANCE USE; SOCIAL-ISOLATION; PEER']",10.1017/nws.2017.9,"['Copeland, M (corresponding author), Duke Univ, Dept Sociol, 276 Soc Psych Bldg,417 Chapel Dr, Durham, NC 27708 USA.']","['Alexander C, 2001, J ADOLESCENT HEALTH, V29, P22, DOI 10.1016/S1054-139X(01)00210-5']"
J,"['Bush, AN']","""The framily plan"": Characteristics of ties described as both ""friend""",NETWORK SCIENCE,2017,11,"['multiplexity; egocentric social networks; social ties; kinship;', 'SOCIAL NETWORKS; MENTAL-ILLNESS; MULTIPLEXITY; DYNAMICS; BEHAVIOR;', 'SOC C 2012 INN']",10.1017/nws.2017.2,"['Bush, AN (corresponding author), Univ Kentucky, Dept Sociol, Lexington, KY 40506 USA.']","['Akers JF, 1998, J ADOLESCENT RES, V13, P178, DOI 10.1177/0743554898132005']"
J,"['Henry, T']",Analyzing heterogeneity in the effects of physical activity in children,NETWORK SCIENCE,2016,11,"['ERGM; STERGM; new network; established program; physical activity;', 'ADOLESCENT FRIENDSHIPS; OBESITY; MODELS; ACCELEROMETER; INTERVENTIONS;']",10.1017/nws.2016.2,"['Henry, T (corresponding author), Univ N Carolina, Chapel Hill, NC 27599 USA.']","['[Anonymous], 2010, Social Networks and Health: Models, Methods, and Applications']"
J,"['Förster, M']",Trust and manipulation in social networks,NETWORK SCIENCE,2016,11,"['social networks; trust; manipulation; persuasion bias; opinion', 'OPINION DYNAMICS; WISDOM']",10.1017/nws.2015.34,"['Förster, M (corresponding author), Univ Hamburg, Dept Econ, Hamburg, Germany.; Mauleon, A; Vannetelbosch, VJ (corresponding author), St Louis Univ, CEREC, Brussels, Belgium.; Mauleon, A; Vannetelbosch, VJ (corresponding author), Univ Louvain, CORE, Louvain La Neuve, Belgium.']","['Acemoglu D, 2011, DYN GAMES APPL, V1, P3, DOI 10.1007/s13235-010-0004-1']"
J,"['Slater, N']",Mid size cliques are more common in real world networks than triangles,NETWORK SCIENCE,2014,11,"['networks; cliques; clustering coefficient; gravitation model;', 'COMMUNITY STRUCTURE; MAXIMUM CLIQUE; COMPLEX NETWORKS; CRITICAL-POINT;']",10.1017/nws.2014.22,"['Slater, N (corresponding author), Bar Ilan Univ, Dept Math, IL-52900 Ramat Gan, Israel.']","['Adamcsek B, 2006, BIOINFORMATICS, V22, P1021, DOI 10.1093/bioinformatics/btl039']"
J,"['Ready, E']","Measuring reciprocity: Double sampling, concordance, and network",NETWORK SCIENCE,2021,10,"['social networks; reciprocity; concordance; double sampling; informant', 'INFORMANT ACCURACY; COOPERATIVE NETWORKS; SOCIAL NETWORKS; RECALL;']",10.1017/nws.2021.18,"['Ready, E (corresponding author), Max Planck Inst Evolutionary Anthropol, Dept Human Behav Ecol & Culture, Leipzig, Germany.; Ready, E (corresponding author), Univ Florida, Dept Anthropol, Gainesville, FL 32611 USA.']","['Adams J, 2007, SOC NETWORKS, V29, P44, DOI 10.1016/j.socnet.2005.11.009']"
J,"['Fritz, C']",Separable and semiparametric network-based counting processes applied to,NETWORK SCIENCE,2021,10,"['arms trade network; combat aircraft; longitudinal network analysis;', 'RANDOM GRAPH MODELS; SOCIAL NETWORKS; REGRESSION']",10.1017/nws.2021.9,"['Fritz, C (corresponding author), Ludwig Maximilians Univ Munchen, Dept Stat, Munich, Germany.']","['AKAIKE H, 1974, IEEE T AUTOMAT CONTR, VAC19, P716, DOI 10.1109/TAC.1974.1100705']"
