Affiliations                                 	   Record Count	         % of 301
INDIANA UNIVERSITY BLOOMINGTON               	             15	     4.983
INDIANA UNIVERSITY SYSTEM                    	             15	     4.983
INESC TEC                                    	              1	     0.332
INRAE                                        	              1	     0.332
INRIA                                        	              2	     0.664
INRIA SOPHIA ANTIPOLIS                       	              1	     0.332
INSEAD BUSINESS SCHOOL                       	              1	     0.332
INSIGHT CTR DATA ANALYT                      	              1	     0.332
INST ECON REG STUD                           	              1	     0.332
INST FUTURES STUDIES                         	              1	     0.332
INST MATH PHYS MECH                          	              1	     0.332
INSTITUT D ETUDES POLITIQUES PARIS SCIENCES P	              1	     0.332
O                                            	               	          
INSTITUT POLYTECHNIQUE DE PARIS              	              1	     0.332
INSTITUTE OF MATHEMATICAL SCIENCES IMSC INDIA	              1	     0.332
INSTITUTE OF SCIENCE TOKYO                   	              1	     0.332
INSTITUTE OF SOFTWARE CAS                    	              1	     0.332
INT COMP SCI INST                            	              1	     0.332
INTERDISCIPLINARY TRANSFORMAT UNIV           	              1	     0.332
INTERNATIONAL BUSINESS MACHINES IBM          	              1	     0.332
INTERNATIONAL INSTITUTE FOR APPLIED SYSTEMS A	              1	     0.332
NALYSIS IIASA                                	               	          
IOWA STATE UNIVERSITY                        	              1	     0.332
ISI FDN                                      	              1	     0.332
JAPAN ADVANCED INSTITUTE OF SCIENCE TECHNOLOG	              2	     0.664
Y JAIST                                      	               	          
JAPAN SCIENCE TECHNOLOGY AGENCY JST          	              1	     0.332
JHERONIMUS ACAD DATA SCI                     	              1	     0.332
JOHNS HOPKINS BLOOMBERG SCHOOL OF PUBLIC HEAL	              1	     0.332
TH                                           	               	          
JOHNS HOPKINS UNIVERSITY                     	              4	     1.329
JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABO	              1	     0.332
RATORY                                       	               	          
KARLSRUHE INSTITUTE OF TECHNOLOGY            	              4	     1.329
KING ABDULAZIZ UNIVERSITY                    	              1	     0.332
KOZMINSKI UNIVERSITY                         	              1	     0.332
KU LEUVEN                                    	              2	     0.664
LAB INFORMAT AVIGNON LIA EA 4128             	              1	     0.332
LEIDEN UNIVERSITY                            	              1	     0.332
LEIDEN UNIVERSITY EXCL LUMC                  	              1	     0.332
LEIPZIG UNIVERSITY                           	              2	     0.664
LEUPHANA UNIVERSITY LUNEBURG                 	              2	     0.664
LINKALAB                                     	              1	     0.332
LINKEDIN CORP                                	              1	     0.332
LINKOPING UNIVERSITY                         	              3	     0.997
LOBACHEVSKY STATE UNIVERSITY OF NIZHNI NOVGOR	              1	     0.332
OD                                           	               	          
LONDON SCHOOL ECONOMICS POLITICAL SCIENCE    	              3	     0.997
LOS ALAMOS NATIONAL LABORATORY               	              1	     0.332
LUND UNIVERSITY                              	              1	     0.332
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT    	              1	     0.332
MAX PLANCK SOCIETY                           	              4	     1.329
MCGILL UNIVERSITY                            	              1	     0.332
MED CTR NIJMEGEN                             	              1	     0.332
MIAMI UNIVERSITY                             	              1	     0.332
MICHIGAN STATE UNIVERSITY                    	              8	     2.658
MICROSOFT                                    	              2	     0.664
MIDDLESEX UNIVERSITY                         	              1	     0.332
MISSOURI STATE UNIVERSITY                    	              1	     0.332
MODUL UNIV                                   	              1	     0.332
MONASH UNIVERSITY                            	              1	     0.332
MTA BME STOCHASTICS RESEARCH GROUP           	              1	     0.332
NANTES UNIVERSITE                            	              1	     0.332
NATIONAL DEVELOPMENT RESEARCH INSTITUTES INC 	              1	     0.332
NATIONAL INSTITUTE OF INFORMATICS NII JAPAN  	              1	     0.332
NATIONAL INSTITUTES OF HEALTH NIH USA        	              3	     0.997
NATIONAL KAPODISTRIAN UNIVERSITY OF ATHENS   	              1	     0.332
NATIONAL TAIWAN UNIVERSITY                   	              1	     0.332
NATIONAL TSING HUA UNIVERSITY                	              1	     0.332
NATL CTR HIGH PERFORMANCE COMP               	              1	     0.332
NEOMA BUSINESS SCH                           	              1	     0.332
NETLAB NETWORK                               	              1	     0.332
NEW YORK UNIVERSITY                          	              4	     1.329
NEW YORK UNIVERSITY ABU DHABI                	              2	     0.664
NHS BLOOD TRANSPLANT NHSBT                   	              1	     0.332
NIH NATIONAL HUMAN GENOME RESEARCH INSTITUTE 	              3	     0.997
NHGRI                                        	               	          
NORC                                         	              1	     0.332
NORTH CAROLINA STATE UNIVERSITY              	              2	     0.664
NORTHEASTERN UNIV                            	              1	     0.332
NORTHEASTERN UNIVERSITY                      	             15	     4.983
NORTHERN HLTH SOCIAL CARE TRUST              	              1	     0.332
NORTHWESTERN UNIVERSITY                      	              6	     1.993
NORWEGIAN COMP CTR                           	              1	     0.332
NYU SHANGHAI                                 	              1	     0.332
OFCE DRIC                                    	              1	     0.332
OHIO STATE UNIVERSITY                        	              4	     1.329
OHIO UNIVERSITY                              	              1	     0.332
OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TR	              1	     0.332
UST                                          	               	          
PALO ALTO MEDICAL FOUNDATION RESEARCH INSTITU	              1	     0.332
TE                                           	               	          
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER ED	              5	     1.661
UCATION PCSHE                                	               	          
PENNSYLVANIA STATE UNIVERSITY                	              2	     0.664
PENNSYLVANIA STATE UNIVERSITY UNIVERSITY PARK	              2	     0.664
PHILIPPS UNIVERSITY MARBURG                  	              1	     0.332
PHU HUNG SECUR CORP                          	              1	     0.332
