Affiliations                                 	   Record Count	       % of 1,557
UNIVERSITY OF PENNSYLVANIA                   	              8	     0.514
UNIVERSITY OF WISCONSIN SYSTEM               	              8	     0.514
EAST CAROLINA UNIVERSITY                     	              7	     0.450
EINDHOVEN UNIVERSITY OF TECHNOLOGY           	              7	     0.450
FLORIDA STATE UNIVERSITY                     	              7	     0.450
SINGAPORE MANAGEMENT UNIVERSITY              	              7	     0.450
UNIVERSIDAD DE LOS ANDES COLOMBIA            	              7	     0.450
UNIVERSITE DE TOULOUSE                       	              7	     0.450
UNIVERSITY AT ALBANY SUNY                    	              7	     0.450
UNIVERSITY AT BUFFALO SUNY                   	              7	     0.450
UNIVERSITY COLLEGE LONDON                    	              7	     0.450
UNIVERSITY OF BRITISH COLUMBIA               	              7	     0.450
UNIVERSITY OF TEXAS AUSTIN                   	              7	     0.450
UNIVERSITY OF WISCONSIN MADISON              	              7	     0.450
UNIVERSITY SYSTEM OF GEORGIA                 	              7	     0.450
XI AN JIAOTONG UNIVERSITY                    	              7	     0.450
AIX MARSEILLE UNIVERSITE                     	              6	     0.385
BOCCONI UNIVERSITY                           	              6	     0.385
CALIFORNIA STATE UNIVERSITY SYSTEM           	              6	     0.385
CATHOLIC UNIVERSITY OF THE SACRED HEART      	              6	     0.385
LUND UNIVERSITY                              	              6	     0.385
NATIONAL UNIVERSITY OF SINGAPORE             	              6	     0.385
NORTHEASTERN UNIVERSITY                      	              6	     0.385
PORTLAND STATE UNIVERSITY                    	              6	     0.385
SEMMELWEIS UNIVERSITY                        	              6	     0.385
SIMON FRASER UNIVERSITY                      	              6	     0.385
UNIVERSITY OF BREMEN                         	              6	     0.385
UNIVERSITY OF COLORADO SYSTEM                	              6	     0.385
UNIVERSITY OF MANNHEIM                       	              6	     0.385
UNIVERSITY OF MUNICH                         	              6	     0.385
UNIVERSITY OF NEW MEXICO                     	              6	     0.385
UNIVERSITY OF QUEENSLAND                     	              6	     0.385
UNIVERSITY OF WATERLOO                       	              6	     0.385
VANDERBILT UNIVERSITY                        	              6	     0.385
BINGHAMTON UNIVERSITY SUNY                   	              5	     0.321
CORVINUS UNIVERSITY BUDAPEST                 	              5	     0.321
DEPT SOCIOL                                  	              5	     0.321
EMORY UNIVERSITY                             	              5	     0.321
EOTVOS LORAND UNIVERSITY                     	              5	     0.321
FEINBERG SCHOOL OF MEDICINE                  	              5	     0.321
FLINDERS UNIVERSITY SOUTH AUSTRALIA          	              5	     0.321
GEORGE MASON UNIVERSITY                      	              5	     0.321
HONG KONG BAPTIST UNIVERSITY                 	              5	     0.321
INSEAD BUSINESS SCHOOL                       	              5	     0.321
KING ABDULAZIZ UNIVERSITY                    	              5	     0.321
LEIDEN UNIVERSITY                            	              5	     0.321
LEIDEN UNIVERSITY EXCL LUMC                  	              5	     0.321
LEIPZIG UNIVERSITY                           	              5	     0.321
MAYNOOTH UNIVERSITY                          	              5	     0.321
NATIONAL INSTITUTES OF HEALTH NIH USA        	              5	     0.321
RAND CORPORATION                             	              5	     0.321
UNITED STATES DEPARTMENT OF DEFENSE          	              5	     0.321
UNIVERSITE DE TOULOUSE JEAN JAURES           	              5	     0.321
UNIVERSITE PARIS DAUPHINE                    	              5	     0.321
UNIVERSITE PARIS SACLAY                      	              5	     0.321
UNIVERSITY OF CALIFORNIA RIVERSIDE           	              5	     0.321
UNIVERSITY OF GENEVA                         	              5	     0.321
UNIVERSITY OF HILDESHEIM                     	              5	     0.321
UNIVERSITY OF KIEL                           	              5	     0.321
UNIVERSITY OF MILAN                          	              5	     0.321
UNIVERSITY OF NEBRASKA LINCOLN               	              5	     0.321
UNIVERSITY OF NEBRASKA SYSTEM                	              5	     0.321
UNIVERSITY OF TRENTO                         	              5	     0.321
BRANDEIS UNIVERSITY                          	              4	     0.257
CHAPMAN UNIVERSITY                           	              4	     0.257
CHAPMAN UNIVERSITY SYSTEM                    	              4	     0.257
CHARLES UNIVERSITY PRAGUE                    	              4	     0.257
GEORGIA STATE UNIVERSITY                     	              4	     0.257
HEBREW UNIVERSITY OF JERUSALEM               	              4	     0.257
